num_episodes,run,J_opt_sigma,J_opt,J_sigma,J,loss,weights,diff_weights,diff_pi,k
20,6,[[-23.52969154]],[[-23.63818024]],[[-29.65388765]],[[-30.53441924]],26.986851356836535,"[0.8083338015344457, 0.0, 0.17592985178427847, 0.015736346681893106]",0.5856070177956224,0.6116144942075226,[-0.72128669 -0.08708973 -0.62917172 -0.52942654]
50,6,[[-23.52969154]],[[-23.63818024]],[[-24.27985786]],[[-24.19856107]],11.361817237361901,"[0.7993919408121244, 0.14250696760731524, 0.0, 0.058101092659232564]",0.5042439819579567,0.22398910745680548,[-0.98569616 -0.06580936 -0.00966348 -0.7311026 ]
100,6,[[-23.52969154]],[[-23.63818024]],[[-24.17741386]],[[-24.17656939]],12.594191015896339,"[0.8381709572795059, 0.04654768208813354, 0.08343900612170702, 0.03184235451065336]",0.576900272087093,0.17485483824797587,[-0.87779961 -0.06917298 -0.15447158 -0.66020467]
200,6,[[-23.52969154]],[[-23.63818024]],[[-24.31443654]],[[-24.21052132]],15.337803625869343,"[0.6563307390196622, 0.23038417475192574, 0.0, 0.11328508627240508]",0.3403277256310097,0.22934846136779005,[-0.98372921 -0.08457901 -0.00686044 -0.70650332]
500,6,[[-23.52969154]],[[-23.63818024]],[[-23.66862942]],[[-23.57789749]],0.5500083263581789,"[0.5404078470491216, 0.22087537804315552, 0.1708066278003124, 0.06791014710741049]",0.23763765150434324,0.05211207283396661,[-0.76812787 -0.05131197 -0.11908006 -0.77925187]
1000,6,[[-23.52969154]],[[-23.63818024]],[[-23.64245186]],[[-23.55304929]],0.7703747177151776,"[0.4827665907510188, 0.26986970347150885, 0.15706305824998437, 0.09030064752748802]",0.15779132452901065,0.031071704174320598,[-0.76768353 -0.05907348 -0.09839414 -0.76862247]
2,7,[[-23.52969154]],[[-23.63818024]],[[-45.86154395]],[[-45.96123192]],676.0275626360349,"[0.7346936279650698, 0.0, 0.265306382808952, 5.469811784661938e-09]",0.5525535138682526,1.2405247054751203,[-0.5512665  -0.04687462 -1.29048742 -0.71858163]
5,7,[[-23.52969154]],[[-23.63818024]],[[-33.19966115]],[[-33.07722666]],10.402094062440199,"[0.4119202460571095, 0.03004228922868355, 0.5477179230192721, 0.010319541694934773]",0.5587494758371517,0.8317549774125462,[-0.43853792 -0.0302882  -0.83133131 -0.76944025]
10,7,[[-23.52969154]],[[-23.63818024]],[[-32.1286972]],[[-31.69609472]],5.321268105847979,"[0.609022993645701, 0.031477910784237, 0.35949909557026954, 0.0]",0.4933447204109241,0.7913737189446306,[-0.5657824  -0.02244768 -0.82943988 -0.85344342]
20,7,[[-23.52969154]],[[-23.63818024]],[[-38.19752625]],[[-38.67902758]],0.7933550328154408,"[0.6954741964073181, 0.003455287682008207, 0.2955726266693332, 0.0054978892413405445]",0.5330337318210042,0.9994192980239012,[-0.57065316 -0.05301753 -1.04534921 -0.67997442]
